Name,Stars,About,Are Kids Allowed,Arrival,City,Country,Rooms,Tour Types
Hotel Zante Park Resort & SPA – BW Premier Collection,5,"[{'Ogólnie': ['pięciogwiazdkowy', 'elegancki i nowoczesny', 'zbudowany w 1991 r., częściowo odnowiony w 2016 r.', '135 pokoi, budynek główny i aneks oddzielony uliczką, 3 piętra, 4 windy', 'eleganckie lobby', 'całodobowa recepcja', 'sala konferencyjna dla 150 osób', 'bezpłatny internet bezprzewodowy w lobby', 'akceptowane karty kredytowe: Visa, MasterCard, American Express', 'przy zakwaterowaniu wymagany depozyt (płatny w gotówce lub blokowany na karcie kredytowej) na poczet wymaganych wydatków w hotelu: ok. 50 EUR/pokój']}, {'Sport i rozrywka': ['polskie animacje (w okresie: lipiec-sierpień)']}, {'Basen': ['basen, słodka woda, ok. 200 m², gł. ok. 1,1-2,1 m', 'basen relaksacyjny', 'przy basenach bezpłatne parasole, leżaki i ręczniki']}, {'Usługi': ['opiekunka do dziecka (na zapytanie)', 'fryzjer (na zapytanie)', 'masaże (na zapytanie)']}, {'Kontakt': ['0030/2695052310', 'www.zanteparkhotels.gr']}]",True,"Grecja, Zakynthos",Zakynthos,Grecja,"[{'room_name': 'standardowy', 'capacity adults': 2, 'capacity_kids': 3, 'price': 540.71, 'baby price': 23.41, 'kid price': 49.83, 'teenager price': 65.36, 'avaliable_rooms': 5}]","[{'tour_type': 'standard', 'tour_surcharge': 0}, {'tour_type': 'All inclusive', 'tour_surcharge': 395}]"
Hotel Krini Beach,4,"[{'Ogólnie': ['czterogwiazdkowy', 'regularnie odnawiany', '59 pokoi, kilka budynków, 1-2 piętra', 'eleganckie lobby', 'całodobowa recepcja', 'bezpłatny internet bezprzewodowy w miejscach ogólnodostępnych', 'akceptowane karty kredytowe: Visa, MasterCard']}, {'Basen': ['basen, słodka woda', 'brodzik, słodka woda', 'przy basenie bezpłatne parasole i leżaki']}, {'Kontakt': ['0030/2831072903', 'www.krinibeach.gr']}]",True,"Grecja, Kreta",Kreta,Grecja,"[{'room_name': 'superior z bocznym widokiem na morze', 'capacity adults': 2, 'capacity_kids': 1, 'price': 558.01, 'baby price': 20.86, 'kid price': 36.75, 'teenager price': 74.92, 'avaliable_rooms': 10}, {'room_name': 'rodzinny', 'capacity adults': 2, 'capacity_kids': 1, 'price': 1018.01, 'baby price': 23.53, 'kid price': 35.95, 'teenager price': 52.71, 'avaliable_rooms': 19}, {'room_name': 'rodzinny z bocznym widokiem na morze', 'capacity adults': 2, 'capacity_kids': 1, 'price': 1169.01, 'baby price': 17.92, 'kid price': 41.96, 'teenager price': 50.99, 'avaliable_rooms': 9}]","[{'tour_type': 'standard', 'tour_surcharge': 0}, {'tour_type': 'All inclusive', 'tour_surcharge': 264}]"
Hotel Azure Resort & Spa,5,"[{'Ogólnie': ['pięciogwiazdkowy', 'nowoczesny', 'zbudowany w 1989 r., odnowiony na początku 2015 r.', '179 pokoi, budynek główny i 5 bocznych, 2 piętra, 3 windy', 'przestronne lobby', 'całodobowa recepcja', 'room-service', 'ogród', 'bezpłatny internet bezprzewodowy w lobby', 'akceptowane karty kredytowe: Visa, MasterCard, American Express, Diners Club']}, {'Sport i rozrywka': ['tenis stołowy', 'siłownia', 'polskie animacje (w okresie: lipiec-sierpień)']}, {'Basen': ['basen, słodka woda, ok. 200 m², gł. ok. 1,1-2,1 m', 'basen relaksacyjny', 'przy basenach bezpłatne parasole, leżaki i ręczniki']}, {'Spa': ['za opłatą (ok. 20 EUR/os./godz.): basen kryty, jacuzzi, sauna']}, {'Kontakt': ['0030/2695026101', 'www.azureresort.com']}]",True,"Grecja, Zakynthos",Zakynthos,Grecja,"[{'room_name': 'standardowy', 'capacity adults': 2, 'capacity_kids': 0, 'price': 1199.09, 'baby price': 26.21, 'kid price': 36.25, 'teenager price': 78.7, 'avaliable_rooms': 7}]","[{'tour_type': 'standard', 'tour_surcharge': 0}, {'tour_type': 'All inclusive', 'tour_surcharge': 317}]"
Hotel Casa Mare Resort (ex. Royal Tulip Beach Resort),5,"[{'Ogólnie': ['pięciogwiazdkowy', 'elegancki', 'zbudowany w 2013 r.', '399 pokoi, budynek główny i kilka budynków z pokojami, do 2 pięter', 'przestronne i eleganckie lobby', 'całodobowa recepcja', 'duży taras z widokiem na basen', 'ogród', 'akceptowane karty kredytowe: Visa, MasterCard']}, {'Basen': ['4 baseny, w tym 1 z barem typu swim-up i 1 podgrzewany w sezonie zimowym, słodka woda, gł. 0,2-1,8 m', 'wydzielony brodzik dla dzieci, podgrzewany w sezonie zimowym', 'miniaquapark dla dzieci i dorosłych z 12 zjeżdżalniami', 'przy basenach bezpłatne parasole, leżaki, materace i ręczniki']}, {'Sport i rozrywka': ['boccia', 'rzutki', 'siatkówka plażowa', 'zajęcia jogi', 'plac zabaw dla dzieci', 'miniklub (4-12 lat)', 'animacje dla dorosłych i dzieci', 'w ciągu dnia zabawy i gry przy basenie i na plaży', 'wieczorem show i pokazy (niektóre zewnętrzne imprezy i show dodatkowo płatne)', 'amfiteatr', 'dyskoteka', 'za opłatą: bilard, centrum nurkowe, centrum i szkoła kitesurfingu (oferta zewnętrzna)']}, {'Spa': ['siłownia', 'za opłatą: sauna, jacuzzi, łaźnia parowa, łaźnia turecka, masaże']}, {'Usługi': ['internet bezprzewodowy', 'room-service', 'lekarz na wezwanie', 'apteka', 'pralnia', 'sklepy z odzieżą, pamiątkami i biżuterią']}, {'Kontakt': ['0020/01028880012']}]",True,"Egipt, Marsa Alam",Marsa Alam,Egipt,"[{'room_name': 'superior', 'capacity adults': 2, 'capacity_kids': 3, 'price': 1405.13, 'baby price': 28.49, 'kid price': 43.64, 'teenager price': 68.82, 'avaliable_rooms': 19}, {'room_name': 'rodzinny', 'capacity adults': 2, 'capacity_kids': 2, 'price': 1518.13, 'baby price': 18.77, 'kid price': 49.26, 'teenager price': 77.69, 'avaliable_rooms': 12}, {'room_name': 'deluxe', 'capacity adults': 2, 'capacity_kids': 1, 'price': 2099.13, 'baby price': 20.22, 'kid price': 33.03, 'teenager price': 58.4, 'avaliable_rooms': 18}, {'room_name': 'premium z jacuzzi', 'capacity adults': 2, 'capacity_kids': 2, 'price': 2520.13, 'baby price': 10.29, 'kid price': 37.91, 'teenager price': 74.66, 'avaliable_rooms': 18}, {'room_name': 'suite', 'capacity adults': 2, 'capacity_kids': 1, 'price': 3391.13, 'baby price': 10.49, 'kid price': 34.27, 'teenager price': 51.37, 'avaliable_rooms': 9}, {'room_name': 'superior z widokiem na morze', 'capacity adults': 2, 'capacity_kids': 3, 'price': 3847.13, 'baby price': 16.1, 'kid price': 31.18, 'teenager price': 55.75, 'avaliable_rooms': 13}, {'room_name': 'rodzinny z widokiem na morze', 'capacity adults': 2, 'capacity_kids': 3, 'price': 4335.13, 'baby price': 11.28, 'kid price': 41.47, 'teenager price': 54.5, 'avaliable_rooms': 8}, {'room_name': 'deluxe z widokiem na morze', 'capacity adults': 2, 'capacity_kids': 0, 'price': 4414.13, 'baby price': 22.64, 'kid price': 31.95, 'teenager price': 64.17, 'avaliable_rooms': 15}, {'room_name': 'premium z jacuzzi i widokiem na morze', 'capacity adults': 2, 'capacity_kids': 1, 'price': 5168.13, 'baby price': 27.72, 'kid price': 47.98, 'teenager price': 79.73, 'avaliable_rooms': 10}, {'room_name': 'suite z widokiem na morze', 'capacity adults': 2, 'capacity_kids': 2, 'price': 5495.13, 'baby price': 16.66, 'kid price': 44.23, 'teenager price': 53.77, 'avaliable_rooms': 16}]","[{'tour_type': 'standard', 'tour_surcharge': 0}, {'tour_type': 'All inclusive', 'tour_surcharge': 340}]"
Hotel SBH Royal Monica,3,"[{'Ogólnie': ['trzygwiazdkowy', 'zadbany', 'zbudowany w 1998 r.', 'odnowiony w 2005 r.', '220 pokoi, 5 budynków, 2 piętra, 1 winda', 'przestronny hol', 'całodobowa recepcja', 'bezpłatny internet bezprzewodowy na terenie całego hotelu', 'przechowalnia bagażu', 'taras z widokiem na morze', 'ogród', 'akceptowane karty kredytowe: Visa, Mastercard, Maestro']}, {'Sport i rozrywka': ['boisko wielofunkcyjne', 'siłownia', 'plac zabaw', 'miniklub (4-12 lat)', 'wieczorne animacje dla dzieci i dorosłych', 'za opłatą: kort tenisowy (oświetlenie płatne ok. 15 EUR/godz., wypożyczalnia sprzętu za kaucją), siatkówka plażowa, tenis stołowy, bilard, szkoła nurkowania']}, {'Basen': ['2 baseny, w tym sezonowo podgrzewany, słodka woda: ok. 250 m², gł. 1,4 m i ok. 100 m²', 'basen dla dzieci, słodka woda, ok. 20 m², gł. ok. 0,4 m', 'przy basenach bezpłatne parasole i leżaki; ręczniki (kaucja: ok. 10 EUR, wymiana ok. 1 EUR/ręcznik)']}, {'Usługi': ['internet bezprzewodowy', 'pralnia', 'wypożyczalnia samochodów', 'wypożyczalnia rowerów', 'parking']}, {'Kontakt': ['0034/928517777', 'www.sbhfue.com']}]",True,"Wyspy Kanaryjskie, Lanzarote",Lanzarote,Wyspy Kanaryjskie,"[{'room_name': 'standardowy', 'capacity adults': 2, 'capacity_kids': 2, 'price': 753.4, 'baby price': 13.26, 'kid price': 44.34, 'teenager price': 50.97, 'avaliable_rooms': 12}, {'room_name': 'rodzinny', 'capacity adults': 4, 'capacity_kids': 2, 'price': 973.4, 'baby price': 28.21, 'kid price': 32.32, 'teenager price': 64.17, 'avaliable_rooms': 20}, {'room_name': 'rodzinny z widokiem na morze', 'capacity adults': 4, 'capacity_kids': 1, 'price': 1653.4, 'baby price': 29.18, 'kid price': 33.86, 'teenager price': 58.32, 'avaliable_rooms': 20}, {'room_name': 'standardowy z widokiem na morze', 'capacity adults': 2, 'capacity_kids': 0, 'price': 2209.4, 'baby price': 22.6, 'kid price': 49.07, 'teenager price': 63.15, 'avaliable_rooms': 8}]","[{'tour_type': 'standard', 'tour_surcharge': 0}, {'tour_type': 'All inclusive', 'tour_surcharge': 212}]"
Hotel Porto Demo,4,"[{'Ogólnie': ['czterogwiazdkowy', 'elegancki i stylowy', '130 pokoi, 7 budynków, 1 piętro', 'elegancki hol', 'całodobowa recepcja', 'parking', 'ogród', 'bezpłatny internet bezprzewodowy', 'występują schody i bariery technologiczne – nie jest polecany osobom z ograniczeniami ruchowymi', 'akceptowane karty kredytowe: Visa, MasterCard, American Express, Diners Club', 'hotel przyjmuje tylko gości powyżej 16. roku życia']}, {'Basen': ['basen, nieregularny kształt, ok. 120 m², gł. 1-1,4 m', 'przy basenie bezpłatne parasole i leżaki, ręczniki za kaucją']}, {'Sport i rozrywka': ['siłownia', '2 razy w tygodniu wieczór tematyczny z grecką muzyką na żywo']}, {'Usługi': ['lekarz na wezwanie']}, {'Kontakt': ['0030/6943292881', 'www.portodemocorfu.com']}]",True,"Grecja, Korfu",Korfu,Grecja,"[{'room_name': 'standardowy', 'capacity adults': 2, 'capacity_kids': 0, 'price': 376.76, 'baby price': 28.59, 'kid price': 38.69, 'teenager price': 77.63, 'avaliable_rooms': 9}, {'room_name': 'junior suite', 'capacity adults': 2, 'capacity_kids': 3, 'price': 830.76, 'baby price': 22.01, 'kid price': 43.14, 'teenager price': 79.52, 'avaliable_rooms': 13}, {'room_name': 'standardowy z widokiem na morze', 'capacity adults': 2, 'capacity_kids': 3, 'price': 1372.76, 'baby price': 10.87, 'kid price': 43.75, 'teenager price': 66.04, 'avaliable_rooms': 6}]","[{'tour_type': 'standard', 'tour_surcharge': 0}, {'tour_type': 'All inclusive', 'tour_surcharge': 328}]"
Hotel Kadikale Resort Spa & Wellness,5,"[{'Ogólnie': ['pięciogwiazdkowy', 'elegancki i nowoczesny', 'zbudowany w 1989 r., odnowiony w 2010 r.', '273 pokoje, 15 budynków, 2 piętra', 'przestronne lobby', 'całodobowa recepcja', 'centrum konferencyjne dla 200 osób', 'taras z widokiem na morze', 'ogród', 'bezpłatny internet bezprzewodowy w miejscach ogólnodostępnych', 'występują różnice poziomów – nie jest polecany osobom z ograniczeniami ruchowymi', 'akceptowane karty kredytowe: Visa, MasterCard, American Express']}, {'Basen': ['2 baseny, nieregularny kształt, słodka woda, gł. 1,4 m; ok. 650 m² i 380 m²', '2 brodziki dla dzieci, gł. 0,4 m', 'kaskada', '2 zjeżdżalnie', 'przy basenach bezpłatne parasole, leżaki i ręczniki']}, {'Sport i rozrywka': ['4 korty tenisowe (oświetlenie płatne; wypożyczenie sprzętu za kaucją)', 'tenis stołowy', 'centrum fitness z widokiem na morze', 'step', 'minigolf', 'siatkówka', 'koszykówka', 'kajaki', 'rowery wodne', 'plac i pokój zabaw dla dzieci', 'miniklub', 'animacje dla dorosłych i dzieci', 'za opłatą: banan, narty wodne, ringo']}, {'Spa': ['hammam', 'sauna', 'za opłatą: kąpiele termalne, aromaterapia, hydroterapia, zabiegi na twarz i ciało, masaże']}, {'Usługi': ['pralnia', 'fryzjer', 'jubiler', 'sklep z wyrobami ze skóry', 'minimarket']}, {'Kontakt': ['0090/2523823302', 'www.kadikaleresort.com']}]",False,"Turcja, Bodrum",Bodrum,Turcja,"[{'room_name': 'standardowy', 'capacity adults': 2, 'capacity_kids': 0, 'price': 360.1, 'baby price': 0, 'kid price': 0, 'teenager price': 0, 'avaliable_rooms': 16}, {'room_name': 'standardowy z widokiem na morze', 'capacity adults': 2, 'capacity_kids': 0, 'price': 734.1, 'baby price': 0, 'kid price': 0, 'teenager price': 0, 'avaliable_rooms': 7}]","[{'tour_type': 'standard', 'tour_surcharge': 0}, {'tour_type': 'All inclusive 24h', 'tour_surcharge': 293}]"
Hotel Angela Beach,3,"[{'Ogólnie': ['trzygwiazdkowy', 'elegancki i zadbany', 'zbudowany w 1995 r., odnowiony w 2018 r.', '400 pokoi, 12 budynków, do 2 pięter, 2 windy w budynku głównym', 'przestronne lobby', 'całodobowa recepcja', 'bezpłatny internet bezprzewodowy']}, {'Basen': ['3 baseny, słodka woda, w tym: prostokątny kształt, ok. 128 m², gł. 1-2,6 m', 'nieregularny kształt, 341 m², gł. 0,7-1,8 m', 'nieregularny kształt, 170 m², gł. 1,2 z 2 zjeżdżalniami', 'brodzik, słodka woda, gł. 0,6 m', 'przy basenach bezpłatne parasole i leżaki']}, {'Sport i rozrywka': ['tenis stołowy', 'siatkówka', 'wieczory z muzyką na żywo', 'występy folklorystyczne', 'plac zabaw dla dzieci.']}, {'Usługi': ['sejf w recepcji (ok. 15 EUR/tydz., 20 EUR/2 tyg.)']}, {'Kontakt': ['0039/2663031291', 'www.angelabeach.gr']}]",True,"Grecja, Korfu",Korfu,Grecja,"[{'room_name': 'superior', 'capacity adults': 2, 'capacity_kids': 2, 'price': 1422.28, 'baby price': 28.92, 'kid price': 49.93, 'teenager price': 54.06, 'avaliable_rooms': 14}, {'room_name': 'rodzinny', 'capacity adults': 2, 'capacity_kids': 3, 'price': 1656.28, 'baby price': 15.01, 'kid price': 37.77, 'teenager price': 70.96, 'avaliable_rooms': 12}]","[{'tour_type': 'standard', 'tour_surcharge': 0}, {'tour_type': 'All inclusive', 'tour_surcharge': 212}]"
Hotel Elpida Village,4,"[{'Ogólnie': ['czterogwiazdkowy', 'zadbany', 'zbudowany w 1980 r., odnowiony w 2013-2016 r.', '109 pokoi, 4 budynki, 3 piętra', 'lobby', 'całodobowa recepcja', 'ogród', 'taras z widokiem na morze', 'bezpłatny internet bezprzewodowy w lobby', 'występują różnice poziomów – nie jest polecany osobom z ograniczeniami ruchowymi', 'akceptowane karty kredytowe: Visa, MasterCard']}, {'Basen': ['basen, nieregularny kształt, słodka woda, ok. 140 m², gł. 1,8-2,8 m', 'brodzik, słodka woda, ok. 50 m², gł. 0,6-1,1 m', 'przy basenie bezpłatne leżaki', 'za opłatą: ręczniki (ok. 2 EUR/dzień, ok. 7 EUR/tydzień)']}, {'Sport i rozrywka': ['kort tenisowy', 'tenis stołowy', 'rzutki', 'pokój fitness', 'plac zabaw dla dzieci', 'polskie animacje (w okresie: lipiec-sierpień)', 'za opłatą: bilard']}, {'Usługi': ['punkt internetowy', 'room-service', 'opiekunka do dziecka', 'pralnia']}, {'Kontakt': ['0030/2841061403', 'www.elpidavillage.gr']}]",True,"Grecja, Kreta",Kreta,Grecja,"[{'room_name': 'standardowy', 'capacity adults': 2, 'capacity_kids': 0, 'price': 645.92, 'baby price': 23.58, 'kid price': 40.11, 'teenager price': 51.82, 'avaliable_rooms': 17}, {'room_name': 'superior', 'capacity adults': 2, 'capacity_kids': 1, 'price': 1013.92, 'baby price': 17.25, 'kid price': 42.29, 'teenager price': 55.24, 'avaliable_rooms': 12}, {'room_name': 'suite', 'capacity adults': 2, 'capacity_kids': 0, 'price': 1207.92, 'baby price': 10.59, 'kid price': 42.41, 'teenager price': 53.92, 'avaliable_rooms': 12}, {'room_name': 'suite z 2 sypialniami', 'capacity adults': 2, 'capacity_kids': 3, 'price': 2043.92, 'baby price': 23.53, 'kid price': 41.91, 'teenager price': 61.58, 'avaliable_rooms': 16}]","[{'tour_type': 'standard', 'tour_surcharge': 0}, {'tour_type': 'All inclusive', 'tour_surcharge': 226}]"
Hotel Fuerteventura Princess,4,"[{'Ogólnie': ['czterogwiazdkowy', 'zadbany', 'zbudowany w 2000 r., wyremontowany w 2014 i 2019 r. (m.in. pokoje, lobby, restauracja główna)', '432 pokoje, budynek główny i 13 budynków z pokojami, do 3 pięter', 'przestronne i eleganckie lobby', 'całodobowa recepcja', 'przechowalnia bagażu', 'parking niestrzeżony (ilość miejsc ograniczona)', 'sala konferencyjna dla maks. 200 osób', 'taras z widokiem na ocean', 'ogród', 'bezpłatny internet bezprzewodowy w wyznaczonych miejscach ogólnodostępnych', 'udogodnienia dla osób z niepełnosprawnościami', 'akceptowane karty kredytowe: Visa, MasterCard, Maestro']}, {'Basen': ['3 baseny, w tym 1 sezonowo podgrzewany, nieregularny kształt, ok. 900 m², ok. 720 m², 609 m², słodka woda', 'basen dla dzieci ze statkiem pirackim, podgrzewany, ok. 178 m²', 'przy basenach bezpłatne parasole i leżaki, bezpłatne ręczniki (2 razy w tygodniu bezpłatna wymiana; każda kolejna wymiana: ok. 2 EUR/ręcznik)']}, {'Sport i rozrywka': ['siłownia', 'tenis stołowy', 'petanka', 'boisko do siatkówki plażowej', 'plac zabaw dla dzieci', 'miniklub (4-12 lat)', 'teen klub (13-17 lat, czynny sezonowo) z bezpłatnym internetem bezprzewodowym i konsolami Play Station (za opłatą)', 'kilka razy w tygodniu animacje dla dorosłych i dzieci: zajęcia sportowe, programy rozrywkowe, wieczory z muzyką na żywo (program animacji i ich częstotliwość mogą ulec zmianie)', 'za opłatą: 4 korty tenisowe (wypożyczenie sprzętu i oświetlenie dodatkowo płatne), kort do padla, pokój gier, bilard, piłkarzyki']}, {'Spa': ['wstęp od 18 lat', 'basen podgrzewany', '2 jacuzzi', 'sauna', 'łaźnia turecka', 'za opłatą: łóżka balijskie, zabiegi i masaże w strefie wellness (wymagana wcześniejsza rezerwacja)']}, {'Usługi': ['lekarz na wezwanie', 'opiekunka do dziecka (na zapytanie)', 'pralnia', 'wypożyczalnia samochodów']}, {'Kontakt': ['0034/928544136', 'www.princess-hotels.com']}]",True,"Wyspy Kanaryjskie, Fuerteventura",Fuerteventura,Wyspy Kanaryjskie,"[{'room_name': 'standardowy', 'capacity adults': 2, 'capacity_kids': 3, 'price': 1247.93, 'baby price': 12.52, 'kid price': 40.45, 'teenager price': 62.14, 'avaliable_rooms': 5}, {'room_name': 'standardowy z bocznym widokiem na morze', 'capacity adults': 2, 'capacity_kids': 3, 'price': 1744.93, 'baby price': 21.65, 'kid price': 33.84, 'teenager price': 60.17, 'avaliable_rooms': 8}]","[{'tour_type': 'standard', 'tour_surcharge': 0}, {'tour_type': 'All inclusive', 'tour_surcharge': 370}]"
Hotel Grand Blue Fafa,5,"[{'Ogólnie': ['pięciogwiazdkowy', 'elegancki i nowoczesny', 'otwarty w czerwcu 2018 r.', '360 pokoi, 3 budynki, 6 pięter, 5 wind', 'przestronne, eleganckie lobby', 'całodobowa recepcja', 'parking', 'centrum konferencyjne dla 120 osób', 'bezpłatny internet bezprzewodowy', 'akceptowane karty kredytowe: Visa, MasterCard']}, {'Sport i rozrywka': ['siłownia']}, {'Basen': ['basen (czynny w sezonie letnim), słodka woda, nieregularny kształt, ok. 750 m², gł. 1,4 m', 'wydzielona część dla dzieci z wodnym placem zabaw (czynna w sezonie letnim), słodka woda, nieregularny kształt, ok. 80 m², gł. 1,4 m', 'brodzik (czynny w sezonie letnim), okrągły kształt, ok. 15 m², gł. 0,6 m', 'przy basenie bezpłatne parasole i leżaki']}, {'Spa': ['za opłatą: centrum wellness & spa: basen kryty, jacuzzi, sauna, hammam i łaźnia parowa (5 EUR/dzień), grota solna, masaże i zabiegi']}, {'Usługi': ['room-service']}, {'Kontakt': ['00355/697888849', 'www.grandbluefafa.al']}]",True,"Albania, Durres",Durres,Albania,"[{'room_name': 'standardowy', 'capacity adults': 2, 'capacity_kids': 3, 'price': 598.75, 'baby price': 17.62, 'kid price': 34.82, 'teenager price': 69.2, 'avaliable_rooms': 18}, {'room_name': 'promo', 'capacity adults': 2, 'capacity_kids': 2, 'price': 727.75, 'baby price': 22.23, 'kid price': 38.81, 'teenager price': 78.99, 'avaliable_rooms': 13}]","[{'tour_type': 'standard', 'tour_surcharge': 0}, {'tour_type': 'All inclusive', 'tour_surcharge': 259}]"
Hotel Golden Coast Family Resort,4,"[{'Ogólnie': ['czterogwiazdkowy', 'otwarty w czerwcu 2019 r.', '88 pokoi, 4 budynki, 1 piętro, 2 windy', 'przestronne lobby', 'całodobowa recepcja', 'sejf w recepcji', 'taras z widokiem na morze', 'bezpłatny internet bezprzewodowy w lobby', 'akceptowane karty kredytowe: Visa, MasterCard']}, {'Basen': ['basen, nieregularny kształt, słodka woda, ok. 93 m², gł. 1,3 m', 'basen, nieregularny kształt, słodka woda, ok. 82 m², gł. 1,3 m', 'zjeżdżalnie w 1 z basenów z wydzieloną częścią dla dzieci, ok. 7 m², gł. 0,4 m', 'przy basenach bezpłatne parasole i leżaki']}, {'Kontakt': ['0030/2294113000', 'www.goldencoastresort.gr']}]",True,"Grecja, Zakynthos",Zakynthos,Grecja,"[{'room_name': 'standardowy', 'capacity adults': 2, 'capacity_kids': 0, 'price': 1104.68, 'baby price': 28.54, 'kid price': 43.73, 'teenager price': 58.74, 'avaliable_rooms': 19}, {'room_name': 'rodzinny', 'capacity adults': 4, 'capacity_kids': 2, 'price': 1151.68, 'baby price': 25.68, 'kid price': 36.47, 'teenager price': 55.82, 'avaliable_rooms': 18}, {'room_name': 'junior suite', 'capacity adults': 4, 'capacity_kids': 2, 'price': 1694.68, 'baby price': 15.38, 'kid price': 33.85, 'teenager price': 67.58, 'avaliable_rooms': 12}, {'room_name': 'swim-up', 'capacity adults': 2, 'capacity_kids': 3, 'price': 2438.6800000000003, 'baby price': 22.23, 'kid price': 37.25, 'teenager price': 58.03, 'avaliable_rooms': 14}]","[{'tour_type': 'standard', 'tour_surcharge': 0}, {'tour_type': 'All inclusive', 'tour_surcharge': 233}]"
Hotel Blue Sea Beach Resort,4,"[{'Ogólnie': ['czterogwiazdkowy', 'zbudowany w 1976 r., sezonowo odnawiany', '480 pokoi, do 4 pięter, 3 windy, budynek główny, 2 budynki boczne oraz część Blue Sea Annex oddzielona ruchliwą ulicą od budynku głównego, całkowicie odnowiona, składająca się z jednopiętrowego budynku z recepcją, parterowych bungalowów – 68 pokoi', 'budynek główny: przestronne lobby, całodobowa recepcja', 'sala konferencyjna dla 100 osób', 'ogród', 'w obu częściach bezpłatny internet bezprzewodowy', 'akceptowane karty kredytowe: Visa, MasterCard']}, {'Sport i rozrywka': ['plac zabaw w części anex', 'sala fitness ze ścianka wspinaczkową', 'kort tenisowy z wypożyczalnią sprzętu', 'siatkówka plażowa', 'koszykówka', 'piłka nożna', 'siatkówka', 'tenis stołowy', 'siłownia', 'pokój i plac zabaw dla dzieci', 'miniklub', 'animacje dla dorosłych i dzieci']}, {'Basen': ['2 baseny, słodka woda, ok. 785 m², gł. 0,8 m, ok. 375 m², gł. 0,8-3 m', 'basen dla dzieci, słodka woda, ok. 24 m², gł. 0,6 m', 'basen w części annex, ok. 100 m², gł. 1,4 m', 'brodzik dla dzieci, ok. 10 m², gł. do 0,6 m', 'przy basenach bezpłatne parasole, leżaki i ręczniki']}, {'Spa': ['sauna', 'jacuzzi', 'za opłatą: kryty basen, słodka woda, ok. 70 m², gł. 0,9-2,3 m']}, {'Usługi': ['opiekunka do dziecka', 'fryzjer', 'minimarket', 'butik']}, {'Kontakt': ['0030/2241085512', 'www.blueseahotel.gr']}]",True,"Grecja, Rodos",Rodos,Grecja,"[{'room_name': 'standardowy w części annex\xa0', 'capacity adults': 2, 'capacity_kids': 2, 'price': 990.27, 'baby price': 14.42, 'kid price': 42.3, 'teenager price': 53.92, 'avaliable_rooms': 13}, {'room_name': 'superior w budynku głównym', 'capacity adults': 2, 'capacity_kids': 1, 'price': 1172.27, 'baby price': 16.33, 'kid price': 48.29, 'teenager price': 53.19, 'avaliable_rooms': 8}, {'room_name': 'maisonette w budynku głównym', 'capacity adults': 3, 'capacity_kids': 3, 'price': 1935.27, 'baby price': 28.0, 'kid price': 34.53, 'teenager price': 72.3, 'avaliable_rooms': 17}, {'room_name': 'superior w budynku głównym z widokiem na morze', 'capacity adults': 2, 'capacity_kids': 1, 'price': 2234.27, 'baby price': 20.83, 'kid price': 35.46, 'teenager price': 73.08, 'avaliable_rooms': 11}]","[{'tour_type': 'standard', 'tour_surcharge': 0}, {'tour_type': 'All inclusive', 'tour_surcharge': 358}]"
Hotel Club Esse Palmasera Resort,4,"[{'Ogólnie': ['czterogwiazdkowy', 'zadbany', 'zbudowany w 1973 r., odnowiony w 2004 r.', '426 pokoi, 1 piętro, kilka budynków rozmieszczonych w 3 częściach: L’hotel, Borgo, Villaggio', 'przestronne lobby', 'całodobowa recepcja', 'parking', 'ogród', 'bezpłatny internet bezprzewodowy w lobby (ograniczony zasięg)', 'na terenie hotelu występują różnice poziomów', 'akceptowane karty kredytowe: Visa, MasterCard']}, {'Sport i rozrywka': ['2 korty tenisowe z oświetleniem (płatne)', 'boisko do koszykówki', 'siatkówka plażowa', 'tenis stołowy', 'piłkarzyki', 'plac zabaw dla dzieci', 'minikluby: Infant Club (0-3 lat), Hero Camp (3-13 lat), Young Club (13-18 lat)', 'animacje dla dorosłych i dzieci (w terminie: 15.06-15.09): zajęcia taneczne, sportowe, muzyka na żywo, dyskoteka, amfiteatr']}, {'Basen': ['3 baseny, słona woda: basen główny, basen dla dzieci, basen w części Borgo (dostępny tylko dla Gości zakwaterowanych w części Borgo), wymagane noszenie czepków', 'przy basenach bezpłatne parasole i leżaki, za opłatą: ręczniki (ok. 3 EUR; wymagana kaucja: 10 EUR; każda zmiana: ok. 3 EUR)']}, {'Usługi': ['fryzjer', 'masaże', 'akceptowane zwierzęta domowe do 5 kg (wymagana opłata na miejscu: ok. 12 EUR/dzień)']}, {'Kontakt': ['0039/0645439344', 'www.clubesse.it']}]",True,"Włochy, Sardynia",Sardynia,Włochy,"[{'room_name': 'standardowy w części Villaggio', 'capacity adults': 2, 'capacity_kids': 1, 'price': 1084.88, 'baby price': 22.08, 'kid price': 42.62, 'teenager price': 55.44, 'avaliable_rooms': 17}, {'room_name': 'standardowy w części Borgo', 'capacity adults': 2, 'capacity_kids': 2, 'price': 1546.88, 'baby price': 21.52, 'kid price': 43.87, 'teenager price': 53.14, 'avaliable_rooms': 5}]","[{'tour_type': 'standard', 'tour_surcharge': 0}, {'tour_type': 'All inclusive', 'tour_surcharge': 232}]"
